Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-18,214.5,221.38,212.52,221.07,2811900,0,0
2015-11-19,220.54,226.19,220.3,221.8,2504400,0,0
2015-11-20,223.49,225.0,213.58,220.01,4400700,0,0
2015-11-23,217.35,219.18,214.68,217.75,2526200,0,0
2015-11-24,215.37,221.0,215.0,218.25,2480300,0,0
2015-11-25,221.34,230.83,220.38,229.64,3990800,0,0
2015-11-27,231.06,232.25,227.01,231.61,1949400,0,0
2015-11-30,231.79,234.28,229.08,230.26,2659800,0,0
2015-12-01,231.06,238.0,231.05,237.19,3734000,0,0
2015-12-02,237.0,238.6,231.23,231.99,2981500,0,0
2015-12-03,235.48,237.45,230.0,232.71,2939600,0,0
2015-12-04,232.46,233.27,227.66,230.38,2573600,0,0
2015-12-07,227.7,235.63,226.15,231.13,3144200,0,0
2015-12-08,227.52,228.8,224.2,226.72,2687600,0,0
2015-12-09,226.7,227.5,220.72,224.52,3057800,0,0
2015-12-10,224.71,228.49,223.64,227.07,2071700,0,0
2015-12-11,225.24,225.75,216.64,217.02,3268700,0,0
2015-12-14,217.51,220.92,214.87,218.58,2827100,0,0
2015-12-15,221.82,222.22,218.0,221.09,2244400,0,0
2015-12-16,222.1,234.88,220.73,234.51,5104300,0,0
2015-12-17,233.94,237.76,229.81,233.39,3298600,0,0
2015-12-18,232.89,235.9,229.29,230.46,3014200,0,0
2015-12-21,231.69,235.83,231.08,232.56,1953200,0,0
2015-12-22,234.99,236.55,229.63,229.95,1961500,0,0
2015-12-23,232.18,233.45,228.13,229.7,1555000,0,0
2015-12-24,230.56,231.88,228.28,230.57,708000,0,0
2015-12-28,231.49,231.98,225.54,228.95,1901300,0,0
2015-12-29,230.06,237.72,229.55,237.19,2406300,0,0
2015-12-30,236.6,243.63,235.67,238.09,3697900,0,0
2015-12-31,238.51,243.45,238.37,240.01,2715000,0,0
2016-01-04,230.72,231.38,219.0,223.41,6827100,0,0
2016-01-05,226.36,226.89,220.0,223.43,3186800,0,0
2016-01-06,220.0,220.05,215.98,219.04,3779100,0,0
2016-01-07,214.19,218.44,213.67,215.65,3554300,0,0
2016-01-08,217.86,220.44,210.77,211.0,3628100,0,0
2016-01-11,214.01,214.45,203.0,207.85,4091400,0,0
2016-01-12,211.6,213.74,205.31,209.97,3091900,0,0
2016-01-13,212.01,212.65,200.0,200.31,4126400,0,0
2016-01-14,202.21,210.0,193.38,206.18,6490700,0,0
2016-01-15,198.97,205.07,197.25,204.99,5578600,0,0
2016-01-19,208.71,210.47,200.78,204.72,4038700,0,0
2016-01-20,199.4,201.28,191.25,198.7,5838600,0,0
2016-01-21,201.55,203.23,195.02,199.97,3166200,0,0
2016-01-22,204.8,205.5,199.03,202.55,3124100,0,0
2016-01-25,200.06,203.57,195.88,196.38,2698700,0,0
2016-01-26,196.7,197.82,188.88,193.56,4964200,0,0
2016-01-27,192.38,193.26,185.77,188.07,3617200,0,0
2016-01-28,190.79,191.28,182.41,189.7,4592800,0,0
2016-01-29,189.95,193.74,188.08,191.2,2852300,0,0
2016-02-01,188.76,199.52,182.75,196.94,5297600,0,0
2016-02-02,192.42,193.12,180.23,182.78,5773600,0,0
2016-02-03,183.59,183.94,170.18,173.48,7931400,0,0
2016-02-04,170.7,175.98,166.99,175.33,4385400,0,0
2016-02-05,171.3,173.0,157.74,162.6,9437600,0,0
2016-02-08,157.1,157.15,146.0,147.99,9313000,0,0
2016-02-09,142.32,159.79,141.05,148.25,8651600,0,0
2016-02-10,150.5,154.97,141.74,143.67,10406500,0,0
2016-02-11,152.0,163.26,147.0,150.47,14252400,0,0
2016-02-12,155.0,157.01,143.7,151.04,7235800,0,0
2016-02-16,158.7,162.95,154.11,155.17,5593800,0,0
2016-02-17,159.0,169.34,156.68,168.68,5825200,0,0
2016-02-18,172.42,172.95,164.77,166.77,3887600,0,0
2016-02-19,163.66,167.49,162.5,166.58,2959400,0,0
2016-02-22,170.12,178.91,169.85,177.74,5060100,0,0
2016-02-23,176.16,181.73,173.68,177.21,5984400,0,0
2016-02-24,172.75,179.5,167.84,179.0,5395600,0,0
2016-02-25,178.65,188.52,175.2,187.43,5750700,0,0
2016-02-26,188.7,192.0,185.0,190.34,6065100,0,0
2016-02-29,192.4,196.35,189.22,191.93,4499000,0,0
2016-03-01,194.25,195.95,182.7,186.35,6712200,0,0
2016-03-02,183.73,188.52,181.5,188.34,4862400,0,0
2016-03-03,188.28,197.42,184.22,195.74,4829000,0,0
2016-03-04,198.0,204.03,197.5,201.04,6489100,0,0
2016-03-07,197.68,209.7,197.4,205.29,5329400,0,0
2016-03-08,203.5,207.5,202.2,202.6,4178700,0,0
2016-03-09,204.52,209.37,202.79,208.72,3208600,0,0
2016-03-10,210.0,213.29,200.67,205.18,5192500,0,0
2016-03-11,207.93,209.42,205.33,207.5,3343100,0,0
2016-03-14,212.65,216.72,210.64,215.15,4065700,0,0
2016-03-15,214.27,218.97,211.5,218.34,3180500,0,0
2016-03-16,218.0,222.58,217.02,221.93,3516700,0,0
2016-03-17,221.47,228.5,220.0,226.38,3782900,0,0
2016-03-18,229.1,234.48,228.06,232.74,4711800,0,0
2016-03-21,235.34,239.88,235.0,238.32,5307800,0,0
2016-03-22,237.21,238.99,232.56,234.24,4316000,0,0
2016-03-23,232.37,234.73,222.03,222.58,4948800,0,0
2016-03-24,215.78,228.89,215.0,227.75,4960900,0,0
2016-03-28,231.61,234.81,225.0,230.26,3925700,0,0
2016-03-29,229.89,232.38,225.33,230.13,4014300,0,0
2016-03-30,235.09,235.5,226.5,226.89,4033000,0,0
2016-03-31,229.34,237.42,225.01,229.77,8012900,0,0
2016-04-01,244.83,247.9,233.25,237.59,15997500,0,0
2016-04-04,249.12,252.12,243.64,246.99,13475300,0,0
2016-04-05,240.5,256.56,240.0,255.47,9948700,0,0
2016-04-06,253.97,267.74,253.45,265.42,11705500,0,0
2016-04-07,266.45,269.34,254.51,257.2,8856200,0,0
2016-04-08,260.5,260.82,248.02,250.07,7363900,0,0
2016-04-11,251.0,258.99,245.3,249.92,9161700,0,0
2016-04-12,249.5,251.8,243.63,247.82,5763200,0,0
2016-04-13,248.51,255.5,247.33,254.53,4925600,0,0
2016-04-14,253.0,256.84,251.05,251.86,4132200,0,0
2016-04-15,251.31,254.6,249.12,254.51,3752400,0,0
2016-04-18,252.23,258.31,251.66,253.88,4271400,0,0
2016-04-19,253.12,254.37,241.25,247.37,6357500,0,0
2016-04-20,246.26,253.66,241.5,249.97,5194100,0,0
2016-04-21,248.99,250.9,246.91,248.29,2783100,0,0
2016-04-22,248.89,254.0,245.71,253.75,3786300,0,0
2016-04-25,253.01,257.38,250.76,251.82,3670300,0,0
2016-04-26,252.05,255.73,249.39,253.74,3223800,0,0
2016-04-27,252.75,255.0,249.4,251.47,3205800,0,0
2016-04-28,249.85,253.43,247.44,247.71,2519000,0,0
2016-04-29,248.14,248.43,237.81,240.76,5413800,0,0
2016-05-02,241.5,243.19,234.82,241.8,3843900,0,0
2016-05-03,237.36,238.91,231.62,232.32,4302200,0,0
2016-05-04,230.29,234.46,220.4,222.56,8700500,0,0
2016-05-05,228.46,228.64,209.79,211.53,11254800,0,0
2016-05-06,210.87,216.37,208.11,214.93,5685200,0,0
2016-05-09,215.72,216.15,206.8,208.92,4776400,0,0
2016-05-10,207.55,209.47,205.0,208.69,4070600,0,0
2016-05-11,207.59,215.48,206.05,208.96,5161900,0,0
2016-05-12,211.44,211.67,203.66,207.28,3650500,0,0
2016-05-13,207.78,211.2,206.7,207.61,2822800,0,0
2016-05-16,208.15,213.15,207.92,208.29,2949400,0,0
2016-05-17,209.05,209.82,204.02,204.66,2843600,0,0
2016-05-18,209.15,215.31,207.75,211.17,5617500,0,0
2016-05-19,213.62,216.79,207.3,215.21,6866300,0,0
2016-05-20,216.99,220.55,216.35,220.28,9007100,0,0
2016-05-23,219.87,222.6,215.86,216.22,5102500,0,0
2016-05-24,216.6,218.74,215.18,217.91,3013800,0,0
2016-05-25,217.91,221.36,216.51,219.58,3126800,0,0
2016-05-26,220.5,225.26,219.05,225.12,4072400,0,0
2016-05-27,224.99,225.93,220.75,223.04,3650300,0,0
2016-05-31,223.04,224.75,221.5,223.23,2789000,0,0
2016-06-01,221.48,222.4,216.89,219.56,2982700,0,0
2016-06-02,219.59,219.91,217.11,218.96,2032800,0,0
2016-06-03,220.0,221.94,218.01,218.99,2229000,0,0
2016-06-06,218.0,220.9,215.45,220.68,2249500,0,0
2016-06-07,222.24,234.44,221.52,232.34,6213600,0,0
2016-06-08,233.8,240.85,232.61,235.52,5972000,0,0
2016-06-09,234.98,235.33,227.06,229.36,4492100,0,0
2016-06-10,227.39,227.97,218.42,218.79,6026600,0,0
2016-06-13,219.5,225.77,217.66,217.87,4193000,0,0
2016-06-14,218.88,222.2,212.53,214.96,3580200,0,0
2016-06-15,216.95,221.9,215.13,217.7,2908500,0,0
2016-06-16,217.42,218.04,213.5,217.93,2440300,0,0
2016-06-17,217.81,219.99,214.5,215.47,3112600,0,0
2016-06-20,219.5,223.75,218.23,219.7,3555500,0,0
2016-06-21,220.68,222.57,218.81,219.61,4529000,0,0
2016-06-22,199.47,205.95,195.75,196.66,23742400,0,0
